ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2022-04-16T05:00:00.000,7.24,323.86,5.84,-4.27
2022-04-16T05:02:00.000,10.09,304.45,5.71,-8.32
2022-04-16T05:04:00.000,9.52,252.50,-2.86,-9.08
2022-04-16T05:06:00.000,3.90,43.90,2.81,2.70
2022-04-16T05:08:00.000,10.79,175.66,-10.76,0.82
2022-04-16T05:10:00.000,12.04,254.63,-3.19,-11.61
2022-04-16T05:12:00.000,11.39,336.35,10.44,-4.57
2022-04-16T05:14:00.000,2.31,50.14,1.48,1.78
2022-04-16T05:16:00.000,10.77,125.70,-6.29,8.75
2022-04-16T05:18:00.000,5.80,293.11,2.28,-5.34
2022-04-16T05:20:00.000,11.90,47.13,8.10,8.72
2022-04-16T05:22:00.000,6.34,12.88,6.18,1.41
2022-04-16T05:24:00.000,17.06,60.13,8.50,14.79
2022-04-16T05:26:00.000,8.28,33.40,6.92,4.56
